Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.01,0.01,0.27039054752635455
75% Corpus,10,0.01,0.31,0.2686469611187773
75% Corpus,10,0.01,0.61,0.32099855788204246
75% Corpus,10,0.01,0.9099999999999999,0.34223485115518637
75% Corpus,10,0.01,symmetric,0.27248673858432876
75% Corpus,10,0.31,0.01,0.2680151699585597
75% Corpus,10,0.31,0.31,0.26806115644230266
75% Corpus,10,0.31,0.61,0.3182749004012343
75% Corpus,10,0.31,0.9099999999999999,0.34600194071914175
75% Corpus,10,0.31,symmetric,0.26987788447721817
75% Corpus,10,0.61,0.01,0.26206179966405574
75% Corpus,10,0.61,0.31,0.27465347203260704
75% Corpus,10,0.61,0.61,0.3134643049082372
75% Corpus,10,0.61,0.9099999999999999,0.3460697030191912
75% Corpus,10,0.61,symmetric,0.26848750944547334
75% Corpus,10,0.9099999999999999,0.01,0.26117264991896727
75% Corpus,10,0.9099999999999999,0.31,0.25376719723254537
75% Corpus,10,0.9099999999999999,0.61,0.3248478666380563
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.33522871548620575
75% Corpus,10,0.9099999999999999,symmetric,0.2668919637304216
75% Corpus,10,symmetric,0.01,0.27185174323940153
75% Corpus,10,symmetric,0.31,0.27244924740646903
75% Corpus,10,symmetric,0.61,0.32287428141349883
75% Corpus,10,symmetric,0.9099999999999999,0.3374513014853172
75% Corpus,10,symmetric,symmetric,0.27711308292925096
75% Corpus,10,asymmetric,0.01,0.28117243601782294
75% Corpus,10,asymmetric,0.31,0.2754277972388766
75% Corpus,10,asymmetric,0.61,0.32865922948322596
75% Corpus,10,asymmetric,0.9099999999999999,0.35837269507231867
75% Corpus,10,asymmetric,symmetric,0.26281915326646876
75% Corpus,11,0.01,0.01,0.27148246183223135
75% Corpus,11,0.01,0.31,0.29102811277246565
75% Corpus,11,0.01,0.61,0.33297778498372677
75% Corpus,11,0.01,0.9099999999999999,0.35988751936459445
75% Corpus,11,0.01,symmetric,0.26878517267239327
75% Corpus,11,0.31,0.01,0.2730928443367157
75% Corpus,11,0.31,0.31,0.27919172581606033
75% Corpus,11,0.31,0.61,0.3467842071413382
75% Corpus,11,0.31,0.9099999999999999,0.38259963721060186
75% Corpus,11,0.31,symmetric,0.2748601177367606
75% Corpus,11,0.61,0.01,0.2786276778584468
75% Corpus,11,0.61,0.31,0.29458195543716886
75% Corpus,11,0.61,0.61,0.33995579861292274
75% Corpus,11,0.61,0.9099999999999999,0.3065867663086957
75% Corpus,11,0.61,symmetric,0.28097665789193776
75% Corpus,11,0.9099999999999999,0.01,0.27689968482165733
75% Corpus,11,0.9099999999999999,0.31,0.2794506306008227
75% Corpus,11,0.9099999999999999,0.61,0.302796530095088
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.3422646160930298
75% Corpus,11,0.9099999999999999,symmetric,0.28664706107032134
75% Corpus,11,symmetric,0.01,0.26844184241099917
75% Corpus,11,symmetric,0.31,0.2777324076683254
75% Corpus,11,symmetric,0.61,0.34138424406897017
75% Corpus,11,symmetric,0.9099999999999999,0.3647717676045177
75% Corpus,11,symmetric,symmetric,0.27131923829874505
75% Corpus,11,asymmetric,0.01,0.2709186537557259
75% Corpus,11,asymmetric,0.31,0.29788681801837097
75% Corpus,11,asymmetric,0.61,0.3700986840541336
75% Corpus,11,asymmetric,0.9099999999999999,0.33056747848913615
75% Corpus,11,asymmetric,symmetric,0.2812553227401694
75% Corpus,12,0.01,0.01,0.2884413867754989
75% Corpus,12,0.01,0.31,0.29369749781430005
75% Corpus,12,0.01,0.61,0.33318806984789057
75% Corpus,12,0.01,0.9099999999999999,0.340102211497733
75% Corpus,12,0.01,symmetric,0.2785673155523786
