Validation_Set,Topics,Power_iters,Decay,Coherence
75% Corpus,3,0,0.0,0.6010663826731769
75% Corpus,3,0,0.1,0.37644746087035125
75% Corpus,3,0,0.2,0.40486343384157997
75% Corpus,3,0,0.3,0.4101673665674121
75% Corpus,3,0,0.4,0.4184204546736143
75% Corpus,3,0,0.5,0.34922816133261564
75% Corpus,3,0,0.6,0.344369554338596
75% Corpus,3,0,0.7,0.29532382391570794
75% Corpus,3,0,0.8,0.25876071553212143
75% Corpus,3,0,0.9,0.2552453236539531
75% Corpus,3,0,1.0,0.2552453236539531
75% Corpus,3,1,0.0,0.7631925035557998
75% Corpus,3,1,0.1,0.37644746087035125
75% Corpus,3,1,0.2,0.40486343384157997
75% Corpus,3,1,0.3,0.4101673665674121
75% Corpus,3,1,0.4,0.4184204546736143
75% Corpus,3,1,0.5,0.34922816133261564
75% Corpus,3,1,0.6,0.344369554338596
75% Corpus,3,1,0.7,0.29532382391570794
75% Corpus,3,1,0.8,0.25876071553212143
75% Corpus,3,1,0.9,0.2552453236539531
75% Corpus,3,1,1.0,0.2552453236539531
75% Corpus,3,4,0.0,0.6618109195324426
75% Corpus,3,4,0.1,0.37644746087035125
75% Corpus,3,4,0.2,0.40486343384157997
75% Corpus,3,4,0.3,0.4101673665674121
75% Corpus,3,4,0.4,0.4184204546736143
75% Corpus,3,4,0.5,0.34922816133261564
75% Corpus,3,4,0.6,0.344369554338596
75% Corpus,3,4,0.7,0.29532382391570794
75% Corpus,3,4,0.8,0.25876071553212143
75% Corpus,3,4,0.9,0.2552453236539531
75% Corpus,3,4,1.0,0.2552453236539531
75% Corpus,3,6,0.0,0.7395787994062878
75% Corpus,3,6,0.1,0.37644746087035125
75% Corpus,3,6,0.2,0.40486343384157997
75% Corpus,3,6,0.3,0.4101673665674121
75% Corpus,3,6,0.4,0.4184204546736143
75% Corpus,3,6,0.5,0.34922816133261564
75% Corpus,3,6,0.6,0.344369554338596
75% Corpus,3,6,0.7,0.29532382391570794
75% Corpus,3,6,0.8,0.25876071553212143
75% Corpus,3,6,0.9,0.2552453236539531
75% Corpus,3,6,1.0,0.2552453236539531
75% Corpus,3,8,0.0,0.6010663826731769
75% Corpus,3,8,0.1,0.37644746087035125
75% Corpus,3,8,0.2,0.40486343384157997
75% Corpus,3,8,0.3,0.4101673665674121
75% Corpus,3,8,0.4,0.4184204546736143
75% Corpus,3,8,0.5,0.34922816133261564
75% Corpus,3,8,0.6,0.344369554338596
75% Corpus,3,8,0.7,0.29532382391570794
75% Corpus,3,8,0.8,0.25876071553212143
75% Corpus,3,8,0.9,0.2552453236539531
75% Corpus,3,8,1.0,0.2552453236539531
75% Corpus,3,10,0.0,0.6618109195324426
75% Corpus,3,10,0.1,0.37644746087035125
75% Corpus,3,10,0.2,0.40486343384157997
