,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363
0,sensible,incredible,single,friend,jealous,say,everything,need,hear,ask,anything,better,open,door,get,car,say,look,beautiful,tonight,feel,perfectly,fine,miss,screaming,fighting,kissing,rain,2am,cursing,name,love,act,insane,way,loved,breaking,coming,undone,rollercoaster,kind,rush,never,knew,could,feel,much,way,loved,respect,space,never,make,wait,call,exactly,say,he,close,mother,talk,business,father,he,charming,endearing,comfortable,miss,screaming,fighting,kissing,rain,2am,cursing,name,love,act,insane,way,loved,breaking,coming,undone,rollercoaster,kind,rush,never,knew,could,feel,much,way,loved,cant,see,smile,faking,heart,breaking,feeling,anything,wild,crazy,frustrating,intoxicating,complicated,got,away,mistake,might,also,miss,screaming,fighting,kissing,rain,2am,cursing,name,love,acted,insane,way,loved,breaking,coming,undone,rollercoaster,kind,rush,never,knew,could,feel,much,way,loved,woah,woah,way,loved,woah,never,knew,could,feel,much,way,loved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,take,deep,breath,walk,door,mornin,first,day,say,hi,friend,aint,seen,try,stay,everybodys,way,freshman,year,gonna,next,four,year,town,hopin,one,senior,boy,wink,say,know,seen,around,fifteen,somebody,tell,love,gonna,believe,fifteen,feelin,there,nothin,figure,well,count,ten,take,life,know,gonna,fifteen,sit,class,next,redhead,named,abigail,soon,enough,best,friend,laughin,girl,think,theyre,cool,well,outta,soon,first,date,he,got,car,feelin,flyin,mama,waitin,thinkin,he,one,dancin,round,room,night,end,night,end,fifteen,somebody,tell,love,gonna,believe,fifteen,first,kiss,make,head,spin,around,well,life,thing,greater,datin,boy,football,team,know,fifteen,wanted,wanted,wish,could,go,back,tell,know,back,swore,gonna,marry,someday,realized,bigger,dream,mine,abigail,gave,everything,boy,changed,mind,cried,might,also,fifteen,somebody,tell,love,gonna,believe,fifteen,forget,look,fall,found,time,heal,anything,might,find,supposed,know,supposed,fifteen,lalala,lalala,lalalala,lalala,lalala,lalalala,lalala,lalala,first,day,take,deep,breath,girl,take,deep,breath,walk,door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,hey,knew,run,somewhere,mean,stare,heard,nothin,sure,shell,make,happy,smile,ask,say,missed,want,know,much,feel,love,still,sometimes,really,wish,could,hate,tried,somethin,cant,heart,know,truth,swore,smile,ask,say,missed,want,know,much,feel,love,still,walk,tonight,try,go,life,say,still,friend,wanna,pretend,see,smile,ask,say,missed,want,know,much,feel,love,still,might,also,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,heat,fight,walked,away,ignorin,word,sayin,tryna,make,stay,said,time,enough,called,hundred,time,picking,mad,might,tell,look,little,closer,said,leave,really,want,stand,outside,window,throwin,pebble,screamin,love,wait,pourin,rain,comin,back,leave,know,need,side,door,stupid,pride,sittin,alone,goin,photograph,starin,phone,keep,goin,back,thing,said,remember,slamming,door,thing,misread,babe,know,everything,tell,see,left,wanted,chase,yeah,said,leave,really,want,stand,outside,window,throwin,pebble,screamin,love,wait,pourin,rain,comin,back,leave,know,need,side,door,might,also,scream,window,cant,even,look,need,say,there,nothing,say,make,right,mean,mean,mean,said,leave,baby,want,stand,outside,window,throwin,pebble,screamin,love,wait,pourin,rain,comin,back,leave,know,need,side,door,face,beautiful,eye,conversation,little,white,lie,faded,picture,beautiful,night,carried,car,stair,broke,cry,worth,mess,everything,little,black,dress,everything,must,confess,need,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,way,sound,mornin,phone,without,warnin,realize,laugh,best,sound,ever,heard,way,cant,keep,focus,watch,talk,notice,hear,word,think,together,every,time,smile,smile,every,time,shine,shine,woahoh,feelin,baby,afraid,jump,fall,jump,fall,baby,never,gonna,leave,say,wanna,ima,stay,jump,fall,huh,well,way,hair,fall,face,got,key,love,freckle,face,never,wrapped,honey,way,everything,ever,wanted,time,think,ohover,say,come,closer,take,deep,breath,jump,fall,every,time,smile,smile,every,time,shine,shine,woahoh,feelin,baby,afraid,jump,fall,jump,fall,baby,never,gonna,leave,say,wanna,ima,stay,jump,fall,might,also,bottom,gonna,drop,foot,catch,catch,people,say,thing,bring,knee,catch,time,gonna,come,mad,could,cry,hold,night,smile,woahoh,need,baby,afraid,please,jump,fall,jump,fall,baby,never,gonna,leave,say,wanna,ima,stay,jump,fall,jump,fall,baby,jump,fall,every,time,smile,smile,every,time,shine,shine,every,time,baby,show,show,jump,fall,jump,fall,jump,fall,yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,wrong,cant,help,feel,nothing,right,babe,misty,morning,come,cant,help,wish,could,see,face,knew,first,note,played,breaking,rule,see,smile,beautiful,smile,girl,front,row,scream,name,dim,spotlight,tell,thing,cant,keep,eye,one,special,another,wideeyed,girl,who,desperately,love,give,photograph,hang,wall,superstar,morning,lonelin,s,come,around,dreaming,wh,n,world,wake,today,another,town,knew,saw,face,counting,way,see,smile,beautiful,smile,girl,front,row,scream,name,dim,spotlight,tell,thing,cant,take,eye,one,special,another,wideeyed,girl,who,desperately,love,give,photograph,hang,wall,superstar,played,bar,play,guitar,invisible,everyone,know,never,see,sing,sleep,every,night,radio,dim,spotlight,tell,thing,cant,take,eye,one,special,another,wideeyed,girl,who,desperately,love,give,photograph,hang,wall,superstar,might,also,sweet,sweet,superstar,superstar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,movie,rain,soak,clothes,skin,drivin,away,guess,could,say,last,time,drive,way,lost,gray,try,grab,fray,still,love,cant,bye,bye,everything,thought,side,bye,bye,baby,want,bad,come,nothing,sympathy,took,home,keep,bye,bye,baby,bye,bye,baby,picture,frame,empty,dresser,vacant,see,writing,dash,back,hesitation,sure,everything,everything,thought,wed,always,guess,never,doubted,flood,feel,becoming,part,past,bye,bye,everything,thought,side,bye,bye,baby,want,bad,come,nothing,sympathy,took,home,keep,bye,bye,baby,there,much,cant,touch,want,enough,time,page,slipping,hand,scared,end,bye,bye,everything,thought,side,bye,bye,baby,want,bad,come,nothing,sympathy,took,home,keep,might,also,bye,bye,everything,thought,side,bye,bye,baby,want,bad,come,nothing,sympathy,took,home,keep,took,home,thought,gonna,keep,bye,bye,baby,bye,bye,baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,last,drop,rain,dried,pavement,find,stain,never,way,tire,turn,stone,old,county,road,leave,em,muddy,underneath,reminds,find,graffiti,wall,old,bathroom,stall,know,scratch,right,used,dollar,pocket,spent,traded,cant,change,reminds,lived,learned,got,burned,held,held,god,know,long,wasted,time,lost,tear,swore,get,amount,freedom,get,clean,still,got,best,worst,day,june,one,met,hand,pocket,wish,,grin,well,smiled,melted,child,every,breath,air,breathe,reminds,lived,learned,got,burned,held,held,god,know,long,wasted,time,lost,tear,swore,get,amount,freedom,get,clean,still,got,lived,learned,found,turn,around,see,never,really,meant,lied,cried,watched,part,die,amount,freedom,get,clean,still,got,might,also,still,got,still,got,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,used,walk,along,street,porch,light,shining,bright,somewhere,back,night,happy,recall,good,back,snuck,circus,threw,arm,around,neck,back,deserved,happy,good,baby,good,baby,showed,em,one,could,touch,way,laughed,dark,talking,bout,daddy,farm,gonna,buy,someday,happy,used,watch,sun,go,boat,water,sorta,feel,right,goodbye,much,harder,happy,good,baby,good,baby,showed,em,one,could,touch,way,laughed,dark,talking,bout,daddy,farm,gonna,buy,someday,happy,happy,hate,voice,telling,love,anymore,give,choice,tear,happy,happy,good,baby,good,baby,showed,em,one,could,touch,way,laughed,dark,talking,bout,daddy,farm,gonna,marry,happy,happy,ohohohoh,happyyou,might,also,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,untouchable,distant,diamond,sky,reaching,cant,tell,caught,caught,untouchable,burning,brighter,sun,close,feel,coming,undone,middle,night,dream,million,little,star,spelling,name,got,come,come,say,well,together,come,come,little,taste,heaven,half,full,wait,day,know,saying,anyway,untouchable,burning,brighter,sun,close,feel,coming,undone,middle,night,dream,million,little,star,spelling,name,got,come,come,say,well,together,come,come,middle,night,waking,dream,want,feel,side,standing,next,got,come,come,say,well,together,come,come,little,taste,heaven,caught,untouchable,burning,brighter,sun,close,feel,coming,undone,middle,night,dream,million,little,star,spelling,name,got,come,come,say,well,together,come,come,middle,night,dream,million,little,star,spelling,name,got,come,come,say,well,together,come,come,come,middle,night,waking,dream,want,feel,side,standing,next,got,come,come,say,well,together,come,come,little,taste,heaven,ohohoh,ohohoh,might,also,middle,night,dream,million,little,star,spelling,name,got,come,come,come,come,come,come,million,little,star,spelling,name,theyre,spelling,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,mmmmm,mmmm,mmmmm,mmmm,mmmmm,mmmm,yeah,hey,stephen,know,look,deceiving,know,saw,light,walked,talking,say,half,thing,wanted,girl,tossing,rock,window,one,waiting,even,cold,hey,stephen,boy,might,believing,always,alone,cant,help,look,angel,cant,help,wanna,kiss,rain,come,feel,magic,feeling,since,met,cant,help,there,one,else,mmm,cant,help,hey,stephen,holding,back,feeling,got,thing,say,huh,seen,thought,never,seen,nobody,shine,way,way,walk,way,talk,way,say,name,beautiful,wonderful,ever,change,hey,stephen,people,always,leaving,think,stay,cant,help,look,angel,cant,help,wanna,kiss,rain,come,feel,magic,feeling,since,met,cant,help,there,one,else,mmm,cant,help,theyre,dimming,street,light,perfect,tonight,waiting,alone,come,come,pull,near,shine,shine,shine,hey,stephen,could,give,fifty,reason,one,choose,girl,well,theyre,beautiful,would,write,song,hahaha,might,also,cant,help,look,angel,cant,help,wanna,kiss,rain,come,feel,magic,feeling,since,met,cant,help,there,one,else,mmm,cant,help,look,angel,cant,help,wanna,kiss,rain,come,feel,magic,feeling,since,met,cant,help,there,one,else,mmm,cant,help,ahuh,mmmmm,cant,help,cant,help,ohohoh,mmmmm,mmmm,mmmmm,mmmm,mmmmm,mmmm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,said,know,said,need,time,need,space,think,watched,go,knew,word,hard,hear,harder,ever,take,back,said,iii,come,back,,said,wake,morning,sunny,storming,laughing,cry,waiting,front,gate,see,face,let,baby,mm,mm,said,know,said,wrong,made,mistake,put,phone,came,tear,said,leave,past,said,iii,come,back,,said,wake,morning,sunny,storming,laughing,cry,waiting,front,gate,see,face,let,baby,might,also,said,honestly,gone,ever,think,,said,woke,morning,sunny,storming,laughing,cry,waiting,front,gate,saw,face,let,baby,wake,morning,yeah,sunny,storming,laughing,cry,waiting,front,gate,miss,want,see,face,love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,upon,time,believe,tuesday,caught,eye,caught,onto,something,hold,onto,night,looked,eye,told,loved,kidding,seems,thing,breaking,almost,never,speak,feel,welcome,anymore,baby,happened,please,tell,one,second,perfect,halfway,door,stare,phone,still,called,feel,low,cant,feel,nothing,flashback,said,forever,always,rain,bedroom,everything,wrong,rain,rain,gone,said,forever,always,line,say,something,way,honest,made,run,hide,scared,little,boy,looked,eye,thought,knew,minute,sure,here,everything,coming,nothing,here,silence,cut,core,going,thought,knew,minute,anymore,stare,phone,still,called,feel,low,cant,feel,nothing,flashback,said,forever,always,rain,bedroom,everything,wrong,rain,rain,gone,said,forever,always,mean,baby,think,might,also,back,baby,back,forget,everything,back,baby,back,forget,everything,rain,bedroom,everything,wrong,rain,rain,gone,said,forever,always,stare,phone,still,called,feel,low,cant,feel,nothing,flashback,said,forever,always,rain,bedroom,everything,wrong,rain,rain,gone,said,forever,always,mean,baby,said,forever,always,yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,today,fairytale,prince,used,damsel,distress,took,hand,picked,six,today,fairytale,today,fairytale,today,fairytale,wore,dress,wore,dark,gray,tshirt,told,pretty,looked,mess,today,fairytale,time,slows,whenever,around,well,feel,magic,air,must,way,kissed,fell,love,saw,standing,must,way,today,fairytale,must,way,today,fairytale,today,fairytale,got,smile,take,another,planet,every,move,make,everything,say,right,today,fairytale,today,fairytale,say,getting,much,clearer,nothing,made,sense,time,saw,face,today,fairytale,time,slows,whenever,around,yeah,might,also,feel,magic,air,must,way,kissed,fell,love,saw,standing,must,way,today,fairytale,must,way,today,fairytale,time,slows,whenever,around,feel,heart,beating,chest,feel,cant,put,feel,magic,air,must,way,kissed,fell,love,saw,standing,must,way,feel,magic,air,must,way,kissed,fell,love,saw,standing,must,way,today,fairytale,must,way,today,fairytale,yeah,today,fairytale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
